Brand,Product,Price,Image_Link,Product_Link
VacationÂ,"""VACATION"" by Vacation Eau de Toilette",$60.00,,https://www.ulta.com/p/vacation-by-vacation-eau-de-toilette-pimprod2032165?sku=2596246
BurberryÂ,Her Eau de Toilette,$99.00 - $155.00,,https://www.ulta.com/p/her-eau-de-toilette-pimprod2030315?sku=2591343
Jimmy ChooÂ,I Want Choo With Love Eau de Parfum,$84.00 - $150.00,,https://www.ulta.com/p/i-want-choo-with-love-eau-de-parfum-pimprod2053978?sku=2646661
Marc JacobsÂ,Daisy Love Eau de Toilette,$82.00 - $142.00,,https://www.ulta.com/p/daisy-love-eau-de-toilette-xlsImpprod18151023?sku=2527016
MoroccanoilÂ,Travel Size L'Originale Eau de Parfum,$35.00,,https://www.ulta.com/p/travel-size-loriginale-eau-de-parfum-pimprod2053728?sku=2643209
Ariana GrandeÂ,MOD Blush Eau de Parfum,$50.00 - $72.00,,https://www.ulta.com/p/mod-blush-eau-de-parfum-pimprod2036423?sku=2604556
Dolce&GabbanaÂ,Light Blue Capri In Love Eau de Parfum,$129.00 - $165.00,,https://www.ulta.com/p/light-blue-capri-in-love-eau-de-parfum-pimprod2051154?sku=2636294
CoachÂ,Floral Eau de Parfum,$80.00 - $126.00,,https://www.ulta.com/p/floral-eau-de-parfum-xlsImpprod17391231?sku=2608701
GucciÂ,Guilty Love Edition Eau de Parfum for Women,$150.00 - $181.00,,https://www.ulta.com/p/guilty-love-edition-eau-de-parfum-women-pimprod2049464?sku=2633367
DiorÂ,J'adore L'Or,$142.00 - $246.00,,https://www.ulta.com/p/jadore-lor-pimprod2040962?sku=2630443
GucciÂ,Flora Gorgeous Magnolia Eau de Parfum,$111.00 - $225.00,,https://www.ulta.com/p/flora-gorgeous-magnolia-eau-de-parfum-pimprod2040057?sku=2612786
BurberryÂ,Her Discovery 4 Piece Travel Spray Gift Set,$40.00,,https://www.ulta.com/p/her-discovery-4-piece-travel-spray-gift-set-pimprod2050015?sku=2637047
Marc JacobsÂ,Daisy Eau So Fresh Eau de Toilette,$82.00 - $160.00,,https://www.ulta.com/p/daisy-eau-so-fresh-eau-de-toilette-xlsImpprod2980129?sku=2226856
CHANELÂ,CHANCE Eau de Parfum Spray,$143.00 - $176.00,,https://www.ulta.com/p/chance-eau-de-parfum-spray-pimprod2015939?sku=2160984
PradaÂ,Candy Eau de Parfum,$93.00 - $162.00,,https://www.ulta.com/p/candy-eau-de-parfum-xlsImpprod4630107?sku=2292683
NOYZÂ,Unmute Eau De Parfum,$85.00,,https://www.ulta.com/p/unmute-eau-de-parfum-pimprod2045038?sku=2624679
BurberryÂ,Burberry Goddess Parfum,$122.00 - $199.00,,https://www.ulta.com/p/burberry-goddess-parfum-pimprod2053196?sku=2642300
PhilosophyÂ,Fresh Cream Soft Velvet Eau de Toilette,$28.00 - $58.00,,https://www.ulta.com/p/fresh-cream-soft-velvet-eau-de-toilette-pimprod2050715?sku=2636300
NematÂ,Amber Fragrance Oil,sale price $15.74$15.74list price $20.99$20.99,,https://www.ulta.com/p/amber-fragrance-oil-pimprod2022389?sku=2578511
Billie EilishÂ,Eilish No. 2 Eau de Parfum,$58.00 - $78.00,,https://www.ulta.com/p/eilish-no-2-eau-de-parfum-pimprod2037339?sku=2605521
LE MONDE GOURMANDÂ,CrÃ¨me Vanille Eau De Parfum,sale price $18.75$18.75list price $25.00$25.00,,https://www.ulta.com/p/creme-vanille-eau-de-parfum-pimprod2044080?sku=2622664
