Brand,Product,Price,Image_Link,Product_Link
BurberryÂ,Her Eau de Parfum Intense,$118.00 - $190.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/her-eau-de-parfum-intense-pimprod2049463?sku=2633370
PradaÂ,Paradoxe Intense Eau De Parfum,$115.00 - $185.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/paradoxe-intense-eau-de-parfum-pimprod2040815?sku=2615496
DiorÂ,Miss Dior Essence,$134.00 - $198.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/miss-dior-essence-pimprod2053866?sku=2644842
PradaÂ,Paradoxe Virtual Flower Eau de Parfum,$110.00 - $180.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/paradoxe-virtual-flower-eau-de-parfum-pimprod2045966?sku=2628684
DIMEÂ,7 Summers Eau de Toilette,$62.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/7-summers-eau-de-toilette-pimprod2038419?sku=2610033
ValentinoÂ,Donna Born in Roma Green Stravaganza Eau de Parfum,$110.00 - $180.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/donna-born-in-roma-green-stravaganza-eau-de-parfum-pimprod2043968?sku=2620990
PhilosophyÂ,Amazing Grace Eau de Toilette,$31.00 - $88.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/amazing-grace-eau-de-toilette-xlsImpprod1500098?sku=2154026
DiorÂ,J'adore Eau de Parfum,$115.00 - $225.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/jadore-eau-de-parfum-pimprod2051019?sku=2636409
Marc JacobsÂ,Perfect Eau de Parfum,$96.00 - $165.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/perfect-eau-de-parfum-pimprod2016739?sku=2568117
LancÃ´meÂ,IdÃ´le Eau de Parfum,$69.00 - $157.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/idole-eau-de-parfum-pimprod2008623?sku=2553350
