Brand,Product,Price,Image_Link,Product_Link,summary,Fragrance Family,Key Notes,Benefits,How To Use,Ingredients
TOCCAÂ,Wonders Collection Mini Perfume Deluxe Set,$58.00Kit Price ($90 value)($90 value),,https://www.ulta.com/p/wonders-collection-mini-perfume-deluxe-set-pimprod2054678?sku=2646990,A deluxe collection of TOCCA's six best-selling Eau de Parfums in a beautifully giftable and collectible carton.,,"Florence: Bergamot, Pear, GardeniaLucia: Italian Lemon, Fig, VetiverCleopatra: Grapefruit, Jasmine, Vanilla MuskStella: Blood Orange, Freesia, Spicy LilyGiulietta: Pink Tulips, Green Apple, Vanilla OrchidLaila: Bergamot, Toasted Vanilla, Amber Item 2646990",,,
LancÃ´meÂ,La Vie Est Belle L'Elixir Eau De Parfum Refill,$147.00,,https://www.ulta.com/p/la-vie-est-belle-lelixir-eau-de-parfum-refill-pimprod2052401?sku=2642437,LancÃ´me's La Vie Est Belle L'Elixir Eau de Parfum is a warm floral elixir perfume that opens with sparkling raspberry and luminous violet leaf notes beautifully blending with a warm cocoa butter base. It creates a scent that evokes the liberation found in radical self-love.,FloralFruityGourmand,"Top notes of sparkling raspberry, intertwined with bright Calabrian bergamot, open the fragranceMiddle notes of velvety violet are amplified by rose heart absolute, heightening the scent's intensityA delicious cocoa butter base note is enveloped in leather accords and the depth of elegant Virginian cedar wood Item 2642437",,,
SnifÂ,Way with Woods Eau de Toilette,$65.00,,https://www.ulta.com/p/way-with-woods-eau-de-toilette-pimprod2041304?sku=2616892,"Snif Way with Woods Eau de Toilette is a versatile, clean scent that blends crisp white tea and mandarin with sandalwood, amber woods, vetiver, and musk.","Woody, Floral, Musky","Top: Timur Pepper, Mandarin, Lemon ZestDry: Amber Woods Sandalwood, Musk, Frankincese, Vetiver Item 2616892",,,
OUAIÂ,Dean Street Eau de Parfum,$64.00,,https://www.ulta.com/p/dean-street-eau-de-parfum-pimprod2025730?sku=2586018,Jet set without the jet lag thanks to OUAI's Dean Street Eau de Parfum. This mood-boosting scent is inspired by OUAI's favorite street in London.,Fresh,"Top - Mandarin, Lemon, Grapefruit, ApricotMiddle - Rose, Magnolia, Muguet, VioletBase - Amber, Linden, Blossom, Musk Item 2586018",,,
GivenchyÂ,Hot Couture Eau de Toilette,$150.00,,https://www.ulta.com/p/hot-couture-eau-de-toilette-pimprod2034317?sku=2601632,"Givenchy blends daring style and elegance with Hot Couture Eau De Toilette which is a Floral-Fruity fragrance featuring notes of Raspberry, Magnolia, and Rosa Damascena in a redesigned iconic bottle.",Floral,Top - Raspberry AccordMiddle - Magnolia AccordBase - Bulgaria and Turkey Rose Damascena Essence Item 2601632,,,
NEST New YorkÂ,Indian Jasmine Perfume Oil Set,$104.00Kit Price ($137 value)($137 value),,https://www.ulta.com/p/indian-jasmine-perfume-oil-set-pimprod2054612?sku=2647218,"NEST New York Indian Jasmine Perfume Oil Set: Immerse yourself in the lush jasmine fields of India with this lightweight body mist featuring an intense jasmine absolute surrounded by bright red berries, sparkling bergamot, and spicy pink pepper.",,,Luxurious baobab oil softens and nourishes the skin while providing a heightened fragrance experience.,,
SnifÂ,House of 8 Eau de Toilette,$65.00,,https://www.ulta.com/p/house-of-8-eau-de-toilette-pimprod2043082?sku=2621748,"Snif House of 8 Eau de Toilette is a cosmic scent that's anything but subtle. Dark meets light with this irresistible blend of chocolate, vanilla, sage, iris, and sandalwood.",FougereWoody,"Top: Apple, Bergamot, White Sage, Cardamom, Cinnamon, SaffronDry: Golden Amber, Cistus, Tonka Bean, Sandalwood, Vanilla Item 2621748",,,
TOCCAÂ,Laila Eau de Parfum,$86.00,,https://www.ulta.com/p/laila-eau-de-parfum-pimprod2054757?sku=2648360,"Laila is the embodiment of the Italian expression piacereâmeaning pleasureâever in pursuit of indulgence and enjoyment. Sprightly citrus leads the charge, with delicious vanilla quickly emerging and then mellowing into a bed of soft flowers and earthy amber.",Gourmand,"Top: Green Mandarin, Bergamot, Desert Rain AccordMidde: Jasmine Nectar, Lily of the Valley, Cardamom BlossomBottom: Toasted Vanilla, White Woods, Golden Amber Item 2648360",,,
EstÃ©e LauderÂ,Beautiful Magnolia L'Eau Eau de Toilette Spray,$108.00 - $140.00,,https://www.ulta.com/p/beautiful-magnolia-leau-eau-de-toilette-spray-pimprod2039053?sku=2609128,"Dare to love with EstÃ©e Lauder's Beautiful Magnolia L'Eau Eau de Toilette Spray, a floral musk fragrance with notes of lush Magnolia and Lavender, creamy Amber, and luminous Musk.",Floral Musk Item 2609128,"Top Notes: Lavender, Water Lotus, Water MintHeart Notes: Magnolia, RoseBase Notes: Amber, Cedarwood, MuskFragrance Feeling: Confident, Sensual, Floral","Dare to dream.An intoxicating blend with signature notes of lush Magnolia and Lavender, creamy Amber, and luminous Musk. Confident, sensual, and romantic.Let your heart open like a magnolia in full bloom.Experience a forever-love story from beginning to end. Each chapter draws you deeper into the feeling of this floral musk LâEau Eau de Toilette spray.",,
SnifÂ,Citrus Circus Eau de Toilette,$65.00,,https://www.ulta.com/p/citrus-circus-eau-de-toilette-pimprod2041305?sku=2616893,"Snif Citrus Circus Eau de Toilette is a fresh, creamsicle scent with a balancing act of bright grapefruit, lime zest, sparkling water, and warm woods.","Citrus, Gourmand, Musky","Top: Grapefruit, Lime Zest, Sparkling Water, CyclamenDry: White Amber, Atlas Cedar, Patchouli Item 2616893",,,
